Time;"device ID";Latitude;Longitude;Altitude;Speed;Degrees;Direction;Status;"Last RX time"
1670214934;1;52.435267;4.658199;-666;8.641;137.92;SE;2;0
1670214954;1;52.434483;4.657751;59.3;3.575;232.15;SW;2;0
1670214975;1;52.434387;4.657645;63.2;2.833;190.45;S;2;0
1670214996;1;52.433042;4.658472;72.1;11.605;141.8;SE;2;0
1670215037;1;52.430452;4.657297;48.9;7.397;225.44;SW;2;0
1670215076;1;52.428987;4.654718;32.7;9.737;226.25;SW;2;0
1670215096;1;52.428043;4.652551;15;7.036;274.24;W;2;0
1670215115;1;52.428577;4.649823;-16.6;7.922;257.31;W;2;0
1670215177;1;52.423444;4.648334;45.3;0;149.26;SE;2;0
1670215197;1;52.423446;4.648365;45.8;0;149.26;SE;2;0
1670215217;1;52.423451;4.648397;45.9;0;149.26;SE;2;0
1670215237;1;52.423449;4.648392;45;0;149.26;SE;2;0
